hospital_name,antibiotic_resistant_rate,cdiff_rate,hand_hygiene_pct_before,surgical_safety_pct
Alexandra Hospital,0.0,,,
Alexandra Marine and General Hospital,,,,
Almonte General Hospital,,,66.49,
Anson General Hospital,0.0,0.0,,
Arnprior Regional Health,0.0,0.0,,100.0
Atikokan General Hospital,0.0,0.0,71.91,
Baycrest Hospital (North York),0.0450065259462622,0.0,92.23,
Bingham Memorial Hospital,0.0,0.0,,
Blanche River Health - Englehart,0.0,,,
Blanche River Health - Kirkland,0.0,,,
Bluewater Health - Sarnia General Site,,,,
Bluewater Health-Charlotte Eleanor Englehart (Petrolia),,,,
Brant Community Healthcare Sys-Brantford,0.0319345979434119,0.430720296865682,84.91,99.75818861
Brightshores Health System-Lions Head Site,0.0,0.0,94.08,
Brightshores Health System-Markdale Site,0.0,0.0,99.73,100.0
Brightshores Health System-Meaford Site,0.0,0.0,60.47,100.0
Brightshores Health System-Owen Sound Site,0.0,0.0,97.87,99.98370274
Brightshores Health System-Southampton Site,0.0,0.0,80.18,100.0
Brightshores Health System-Wiarton Site,0.0,0.0,98.17,100.0
Brockville General Hospital,0.0,0.0666355700673019,64.81,
Bruyere Continuing Care Inc. - Saint-Vincent Hospital,0.0,0.0682011935208866,89.49,
Bruyere Continuing Care Inc. - Élisabeth Bruèyre Hospital,0.0,0.0,87.96,
Bruyere Continuing Care – Greystone,0.0,0.0,,
Cambridge Memorial Hospital,0.0,0.0576867608883761,57.08,
Campbellford Memorial Hospital,0.0,,89.84,
Carleton Place and District Memorial Hospital,,,64.58,
Casey House,,,46.55,
Centre for Addiction and Mental Health-Queen Street Site,0.0,0.0,84.14,
Chatham-Kent Health Alliance-Chatham,0.0552394630724189,0.113558937088349,88.17,
Chatham-Kent Health Alliance-Wallaceburg,0.0,0.0,100.0,
Children's Hospital Of Eastern Ontario,0.0,,,
Clinton Public Hospital,0.0,1.25470514429109,,
Collingwood General and Marine Hospital,0.0,0.118231260345235,68.72,
Cornwall Community Hospital,0.0698372791396047,0.209511837418814,87.96,
Deep River And District Hospital,0.0,0.0,77.51,
Dryden Regional Health Centre,0.0,0.0,100.0,
Erie Shores Healthcare,0.0,,87.36,100.0
Espanola General Hospital,0.0,0.0,98.05,
Four Counties Health Services Corporation,,0.868809730668984,80.39,
Georgian Bay General Hosp-Midland Site,,,,
Geraldton District Hospital,0.0,0.0,74.68,
Glengarry Memorial Hospital,,,,
Grand River Hospital Corp-Waterloo Site,0.0598444045481748,0.08310479514668,,
Groves Memorial Community Hospital,0.0,,76.42,
Guelph General Hospital,,,,99.87763842
