facility_name,city,postal_code,CSDname,latitude,longitude,street_no,street_name,province,odhf_facility_type
Alexandra Hospital,ingersoll,N5C 3V6,Ingersoll,43.032068,-80.87545899999999,29,noxon st,on,Hospitals
Alexandra Marine and General Hospital,goderich,N7A 1W5,Goderich,43.75029339,-81.70601993,120,napier street,on,Hospitals
Alexandra Marine and General Hospital of Goderich,goderich,N7A 3A2,Goderich,43.73584389,-81.69832412,274,huron road,on,Hospitals
Algoma Family Services,sault ste marie,P6B 1Y3,Sault Ste. Marie,46.5215406,-84.31783225,205,mcnabb street,on,Hospitals
Almonte General Hospital,almonte,K0A 1A0,Mississippi Mills,45.229134,-76.189495,75,spring st,on,Hospitals
Anson General Hospital,iroquois falls,P0K 1E0,Iroquois Falls,48.7690269,-80.6860401,58,anson dr,on,Hospitals
Arnprior Regional Health — Arnprior & District Memorial Hospital,arnprior,K7S 2P6,Arnprior,45.441542,-76.35292,350,john st n,on,Hospitals
Atikokan General Hospital,atikokan,P0T 1C0,Atikokan,48.754155,-91.597609,120,dorothy st,on,Hospitals
Bingham Memorial Hospital,matheson,P0K 1N0,Black River-Matheson,48.5396038,-80.4697506,507,8 ave,on,Hospitals
Blind River District Health Centre,blind river,P0R 1B0,Blind River,46.1873626,-82.92406319999999,525,causley st,on,Hospitals
Bluewater Health,sarnia,N7T 6S3,Sarnia,42.9773664,-82.39054759999999,89,norman st,on,Hospitals
Bluewater Health - Petrolia (Charlotte Eleanor Englehart Hospital),petrolia,N0N 1R0,Petrolia,42.87826,-82.147367,450,blanche street,on,Hospitals
Brant Community Healthcare System - Brantford General Hospital Site,brantford,N3R 1G9,Brantford,43.152313,-80.276196,200,terrace hill st,on,Hospitals
BROCKVILLE GENERAL - ST. VINCENT DE PAUL,brockville,K6V 2C3,Brockville,44.59203591,-75.68319296,42,garden street,on,Hospitals
Brockville General Hospital,brockville,K6V 1S8,Brockville,44.597394,-75.681314,75,charles st,on,Hospitals
Brockville General Hospital — Elmgrove Site,brockville,K6V 5W7,Brockville,,,,,on,Hospitals
Cambridge Memorial Hospital,cambridge,N1R 3G2,Cambridge,43.378517,-80.32855,700,coronation blvd,on,Hospitals
Campbellford Memorial Hospital,campbellford,K0L 1L0,Trent Hills,44.3124044,-77.78984759999999,146,oliver rd,on,Hospitals
Carleton Place and District Memorial Hospital,carleton place,K7C 1J4,Carleton Place,45.140984,-76.13668100000001,211,lake ave e,on,Hospitals
Casey House Hospice,toronto,M4Y 1P2,Toronto,43.668867,-79.37892,9,huntley street,on,Hospitals
Centre for Addiction and Mental Health,toronto,M6J 1H4,Toronto,43.6435848,-79.41854079999999,1001,queen st w,on,Hospitals
Centre for Addiction and Mental Health - Brentcliffe Rd. Site,toronto,M4G 3Z1,Toronto,43.7195763,-79.3662235,175,brentcliffe rd,on,Hospitals
Centre for Addiction and Mental Health - College St. Site,toronto,M5T 1R8,Toronto,43.6584046,-79.39896759999999,250,college st,on,Hospitals
Centre for Addiction and Mental Health - Russell St. Site,toronto,M5S 2S1,Toronto,43.6597795,-79.39943149999999,33,russell st,on,Hospitals
Chatham-Kent Health Alliance,chatham,N7M 5L9,Chatham-Kent,42.405071,-82.193665,80,grand ave w,on,Hospitals
Chatham-Kent Health Alliance - Sydenham District Hospital Campus,wallaceburg,N8A 2A7,Chatham-Kent,42.598468,-82.366871,325,margaret ave,on,Hospitals
Child and Parent Resource Institute,london,N6H 3W7,London,42.9673109,-81.3337064,600,sanatorium rd,on,Hospitals
Children's Hospital of Eastern Ontario,ottawa,K1H 8L1,Ottawa,45.40076679999999,-75.652152,401,smyth road,on,Hospitals
Collingwood General and Marine Hospital,collingwood,L9Y 1W9,Collingwood,44.499502,-80.203407,459,hume st,on,Hospitals
Cornwall Community Hospital - Mcconnell Ave.,cornwall,K6H 5S5,Cornwall,45.029921,-74.718312,840,mcconnell ave,on,Hospitals
Cosmetic Surgery Hospital,woodbridge,L4L 1S7,Vaughan,43.7833018,-79.57800300000001,4650,hwy 7,on,Hospitals
Credit Valley Hospital,mississauga,L5M 2N1,Mississauga,43.5593496,-79.7032464,2200,eglinton ave w,on,Hospitals
Deep River and District Hospital,deep river,K0J 1P0,Deep River,46.0908667,-77.4750037,117,banting dr,on,Hospitals
Don Mills Surgical Unit,north york,M3C 1J4,Toronto,43.7236162,-79.33617748,20,wynford drive,on,Hospitals
Dryden Regional Health Centre,dryden,P8N 2Z6,Dryden,49.76956,-92.838641,58,goodall st,on,Hospitals
Emo Health Centre,emo,P0W 1E0,Emo,48.631491,-93.842073,260,front street,on,Hospitals
Englehart and District Hospital Inc.,englehart,P0J 1H0,Englehart,47.823199,-79.879574,61,5 st,on,Hospitals
Espanola General Hospital,espanola,P5E 1R4,Espanola,46.248452,-81.78083199999999,825,mckinnon dr,on,Hospitals
Four Counties Health Services Corporation,newbury,N0L 1Z0,Newbury,42.683425,-81.78922299999999,,rr 3,on,Hospitals
Georgetown Hospital,georgetown,L7G 2B8,Halton Hills,43.644797,-79.933322,1,princess anne dr,on,Hospitals
Geraldton District Hospital,geraldton,P0T 1M0,Greenstone,49.7226939,-86.9547123,500,hogarth st w,on,Hospitals
Grand River Hospital,kitchener,N2G 1G3,Kitchener,43.4557709,-80.51168009999999,835,king st w,on,Hospitals
Grey Bruce Health Services (Corporate Headquarters) - Owen Sound,owen sound,N4K 6M9,Owen Sound,44.569716,-80.910861,1800,8 st e,on,Hospitals
Grey Bruce Health Services - Lion's Head,lions head,N0H 1W0,Northern Bruce Peninsula,44.9860183,-81.2489387,22,moore st,on,Hospitals
Grey Bruce Health Services - Markdale,markdale,N0C 1H0,Grey Highlands,44.3181695,-80.6501723,55,isla st,on,Hospitals
Grey Bruce Health Services - Meaford,meaford,N4L 1A3,Meaford,44.6057164,-80.599874,229,nelson st w,on,Hospitals
Grey Bruce Health Services - Southampton,southampton,N0H 2L0,Saugeen Shores,44.4933843,-81.36606590000001,340,high st,on,Hospitals
Grey Bruce Health Services - Wiarton,wiarton,N0H 2T0,South Bruce Peninsula,44.736996000000005,-81.138661,369,mary st,on,Hospitals
Groves Memorial Community Hospital,fergus,N1M 1W3,Centre Wellington,43.7053256,-80.3730598,235,union st e,on,Hospitals
Guelph General Hospital,guelph,N1E 4J4,Guelph,43.5563618,-80.2535473,115,delhi st,on,Hospitals
Haldimand War Memorial Hospital,dunnville,N1A 2P7,Haldimand County,42.904968,-79.6249358,400,broad street w,on,Hospitals
Haliburton Highlands Health Services - Haliburton Hospital,haliburton,K0M 1S0,Dysart et al,45.0382326,-78.5294162,7199,gelert rd,on,Hospitals
Haliburton Highlands Health Services - Minden,minden,K0M 2K0,Minden Hills,44.9250073,-78.7316832,6,mcpherson street,on,Hospitals
Halton Healthcare Services - Oakville,oakville,L6M 0L8,Oakville,43.44892573,-79.76659729,3001,hospital gate,on,Hospitals
Halton Healthcare Services Corporation - Milton Site,milton,L9T 2X5,Milton,43.497184,-79.868466,7030,derry rd e,on,Hospitals
Hamilton Health Sciences - Mcmaster,hamilton,L8N 3Z5,Hamilton,43.2530003,-79.8605236,1200,main st w,on,Hospitals
Hamilton Health Sciences - Hamilton General Hospital,hamilton,L8L 2X2,Hamilton,43.2617528,-79.8543243,237,barton st e,on,Hospitals
Hamilton Health Sciences - Juravinski Hospital,hamilton,L8V 1C3,Hamilton,43.2399446,-79.8464032,711,concession st,on,Hospitals
Hamilton Health Sciences - St. Peter's Hospital,hamilton,L8M 1W9,Hamilton,43.24514479,-79.83712249,88,maplewood avenue,on,Hospitals
Hamilton Health Sciences - Ucc,hamilton,L8S 1A4,Hamilton,43.26011899,-79.89768341,690,main street w,on,Hospitals
Hanover and District Hospital,hanover,N4N 1N1,Hanover,44.141468,-81.02933399999999,90,7 ave,on,Hospitals
Headwaters Health Care Centre - Headwaters Orangeville,orangeville,L9W 4X9,Orangeville,43.920509,-80.072243,100,rollings hills dr,on,Hospitals
Health Sciences North - Ramsey Lake Health Centre,sudbury,P3E 5J1,Greater Sudbury / Grand Sudbury,46.4679347,-80.99628359999998,41,ramsey lake rd,on,Hospitals
North Bay Regional Health Centre - Kirkwood,sudbury,P3E 1X3,Greater Sudbury / Grand Sudbury,46.4918343,-80.99217809999999,680,kirkwood dr,on,Hospitals
Holland Bloorview Kids Rehabilitation Hospital,toronto,M4G 1R8,Toronto,43.71805689999999,-79.3741804,150,kilgour rd,on,Hospitals
Homewood Health Centre,guelph,N1E 6K9,Guelph,43.557379100000006,-80.25674980000001,150,delhi st,on,Hospitals
Hornepayne Community Hospital,hornepayne,P0M 1Z0,Hornepayne,49.212827,-84.774059,278,front st,on,Hospitals
Hospital for Sick Children,toronto,M5G 1X8,Toronto,43.657374,-79.387437,555,university avenue,on,Hospitals
Hotel Dieu Hospital - Religious Hospitallers of Saint Joseph of the Hotel Dieu of Kingston,kingston,K7L 5G2,Kingston,44.2309092,-76.48603179999999,166,brock st,on,Hospitals
Hotel Dieu Hospital of Cornwall,cornwall,K6J 5T2,Cornwall,45.014927,-74.732434,14,york st,on,Hospitals
Hotel Dieu Shaver Health & Rehabilitation Centre,st catharines,L2T 4C2,St. Catharines,43.122155600000006,-79.24289549999999,541,glenridge ave,on,Hospitals
Humber River Hospital,toronto,M3M 0B2,Toronto,43.72377199,-79.48937432,1235,wilson avenue,on,Hospitals
Humber River Hospital -York Finch,toronto,M3N 1N1,Toronto,43.754503,-79.526393,2111,finch avenue w,on,Hospitals
Humber River Regional Hospital - Church St. Site,weston,M9N 1N8,Toronto,43.7086562,-79.509922,200,church st,on,Hospitals
Humber River Regional Hospital - Keele Street Site,toronto,M6M 3Z4,Toronto,43.6974651,-79.47385140000002,2175,keele st,on,Hospitals
Stratford General Hospital,stratford,N5A 2Y6,Stratford,43.368168,-80.99548100000001,46,general hospital dr,on,Hospitals
Huron Perth Healthcare Alliance - Clinton Public Hospital,clinton,N0M 1L0,Central Huron,43.6218473,-81.54223409999999,98,shipley st,on,Hospitals
Huron Perth Healthcare Alliance - Seaforth Community Hospital,seaforth,N0K 1W0,Huron East,43.5511473,-81.3851219,24,centennial dr,on,Hospitals
Huron Perth Healthcare Alliance - St. Marys Memorial Hospital,st marys,N4X 1B6,St. Marys,43.258998600000005,-81.15189840000001,267,queen st w,on,Hospitals
Huronia District Hospital,midland,L4R 4P4,Midland,44.742184,-79.913566,1112,st andrews dr,on,Hospitals
HÔPITAL GENERAL DE HAWKESBURY AND DISTRICT GENERAL HOSPITAL INC.,hawkesbury,K6A 3G5,Hawkesbury,45.5994979,-74.607557,1111,rue ghislain,on,Hospitals
HÔPITAL GLENGARRY MEMORIAL HOSPITAL,alexandria,K0C 1A0,North Glengarry,45.305873,-74.644064,20260,county rd 43,on,Hospitals
Casselman Satellite Centre,casselman,K0A 1M0,Casselman,45.31256166,-75.08610963,710,rue principale,on,Hospitals
HÔPITAL MONTFORT HOSPITAL,ottawa,K1K 0T2,Ottawa,45.4459814,-75.63923840000001,713,ch montréal rd,on,Hospitals
HÔPITAL ÉLISABETH BRUYÈRE HOSPITAL,ottawa,K1N 5C8,Ottawa,45.431931,-75.6970115,43,bruyère st,on,Hospitals
